"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152952",5218.42829404012,5.63687047753257,0.121074977452724,46.5568575450166,0,0
"ENSG00000159167",1618.80378131637,5.46822926088329,0.148313742481512,36.8693363770045,1.43316360855921e-297,9.86661486312586e-294
"ENSG00000131016",2300.44828388444,3.74140223826579,0.125805138285036,29.7396615851169,2.3593167314582e-194,1.08284773584826e-190
"ENSG00000150594",1311.18010235723,4.6113693535335,0.158392743105547,29.1135140608093,2.4213049880232e-186,8.33473709502287e-183
"ENSG00000096088",996.511854753316,3.99025894510474,0.146853699785359,27.1716609859806,1.40479148257124e-162,3.86851478470469e-159
"ENSG00000140459",603.927820921112,5.96634341931259,0.22049991317215,27.0582574545256,3.05386178182226e-161,7.00810381231846e-158
"ENSG00000158406",5443.20222961843,3.03684665115037,0.112795502012313,26.9234729840455,1.16668493576791e-159,2.29486926865548e-156
"ENSG00000104419",15545.6338850174,2.9927896266292,0.112405946616422,26.6248336206082,3.50205656210701e-156,6.02747710045643e-153
"ENSG00000157219",564.746652286258,6.10098532886893,0.239827004294766,25.4391091062053,9.31768168794429e-143,1.42550176845894e-139
"ENSG00000137801",1841.18050646194,3.5791168125037,0.143483736330602,24.9444076662252,2.45561954448004e-137,3.38114255079456e-134
"ENSG00000143847",829.723498482718,4.12768284671915,0.16904397690548,24.4178048948003,1.10658100042134e-131,1.38513761770922e-128
"ENSG00000172243",698.169162348598,4.03457148210962,0.173341052837799,23.275337354071,7.88154191165144e-120,9.04341254846073e-117
"ENSG00000146648",6096.03707073023,2.66790922181583,0.115230047201015,23.1528953308659,1.35932985526934e-118,1.43973944440027e-115
"ENSG00000134240",1045.91133083088,-3.33098461135808,0.145640285793821,-22.8713133402777,8.96928898764488e-116,8.82129571934874e-113
"ENSG00000131389",795.164762399946,4.03262008795969,0.177799228598952,22.6807513156076,6.93941815167833e-114,6.36992323536392e-111
"ENSG00000170525",2259.35754118385,2.82562575131846,0.12494324615635,22.6152740403635,3.06621198358444e-113,2.63866705012339e-110
"ENSG00000115414",28771.692662433,2.88502267405902,0.129495891408706,22.2788741995954,5.92278943098983e-110,4.79711103972347e-107
"ENSG00000114268",1398.39546907318,2.85637966933417,0.129195230707448,22.1090179079613,2.58840344943975e-108,1.97998483862977e-105
"ENSG00000166292",441.47971715721,4.75638000216932,0.215429590057728,22.0785826166905,5.07762922725312e-108,3.67967772789727e-105
"ENSG00000125629",1951.34494782451,2.79959398920288,0.130837203948517,21.3975375865146,1.40853126719293e-101,9.69703350898973e-99
"ENSG00000164188",732.455696265566,3.40724169390848,0.160951721801325,21.1693398229955,1.83104264422324e-99,1.20055362706237e-96
"ENSG00000134333",46958.6375490052,1.927027909513,0.0965011584928845,19.9689614053192,1.02563880459269e-88,6.41910031838036e-86
"ENSG00000102144",24353.3403666394,2.20448306977315,0.110767205759927,19.9019471029275,3.91423951375576e-88,2.34326799412622e-85
"ENSG00000197520",511.417431463107,3.70961063996478,0.189614089781015,19.5640030983404,3.13473867722302e-85,1.76553841487373e-82
"ENSG00000164850",470.355019113633,3.58109217993087,0.183055630222749,19.5628628060948,3.20564023326628e-85,1.76553841487373e-82
"ENSG00000115738",1280.57620386034,2.49709505392093,0.128429180926849,19.4433619828443,3.31699818042174e-84,1.7566056902395e-81
"ENSG00000131711",12129.7893411435,2.08400358879589,0.107438427617794,19.3971899533899,8.15065945905118e-84,4.15653444783984e-81
"ENSG00000198763",97417.6415516895,-1.87589459584039,0.0968528550860129,-19.3685007445,1.42342309784985e-83,6.99968308367666e-81
"ENSG00000176171",14126.6388694837,2.05926515861207,0.107405045569315,19.1728903209031,6.23466739133789e-82,2.96017707970108e-79
"ENSG00000149925",3107.23971862252,2.29002651622014,0.121946994836869,18.7788679768907,1.12452034172824e-78,5.1611735284187e-76
"ENSG00000196968",746.451564074804,2.7061282251761,0.148733378607992,18.1944917173467,5.70660285491774e-74,2.53465208739879e-71
"ENSG00000114023",13100.6532404629,1.82046653715954,0.101677248955834,17.9043646032389,1.09032333864969e-71,4.69145689058362e-69
"ENSG00000104765",16120.076875991,2.12116970477011,0.119358865262748,17.7713628568831,1.17793895413464e-70,4.91486104832723e-68
"ENSG00000134107",1488.56320303485,2.38013015958479,0.134413119161468,17.707573296663,3.66538195154635e-70,1.48437188502476e-67
"ENSG00000124766",6889.20827884516,1.86528636760237,0.106250928265147,17.5554830254997,5.40056090593636e-69,2.12458066039536e-66
"ENSG00000163516",3611.50768539381,1.8540818929631,0.106274440507064,17.4461694092839,3.68106608357312e-68,1.40790552513106e-65
"ENSG00000172175",9545.5448106779,2.35811064992979,0.137391090460193,17.1634903109893,4.9827115043501e-66,1.85424201901072e-63
"ENSG00000129521",1118.16694322663,2.56014043030449,0.14919275701297,17.1599512038103,5.29581155036939e-66,1.91889550623779e-63
"ENSG00000168461",285.675094072012,4.00183361731867,0.233858456851331,17.1122039852625,1.20357811083406e-65,4.24924795078824e-63
"ENSG00000154734",16569.1937144283,1.89201324003279,0.110771099429815,17.0803869400211,2.07736655649863e-65,7.1508150291074e-63
"ENSG00000067057",3806.26208269317,1.97179038982684,0.11547895624697,17.0748892604281,2.28258402938912e-65,7.66558524406311e-63
"ENSG00000100906",4243.75425134699,1.91543374954839,0.112535105389237,17.0207664792536,5.76115103645938e-65,1.88869734811927e-62
"ENSG00000154478",215.631727879502,6.25622443026408,0.371840779847155,16.825008899873,1.60037658851256e-63,5.12455470865801e-61
"ENSG00000198727",130841.877386781,-1.58166581105645,0.0961203777564426,-16.4550519668597,7.71556308262121e-61,2.41444518374117e-58
"ENSG00000196091",581.158024700183,2.79199458386906,0.170424728825809,16.3825672665306,2.5475941699398e-60,7.79507202797803e-58
"ENSG00000163171",1729.59557461731,1.98673720522852,0.121388650321866,16.3667459845761,3.30414136161009e-60,9.89015704521943e-58
"ENSG00000124157",231.392760125795,4.4818647733461,0.274537828753644,16.3251264632383,6.5405034331455e-60,1.9160891866166e-57
"ENSG00000095739",1414.75061942367,2.08040414389069,0.128162678821134,16.2325269963663,2.96977423109424e-59,8.51892112248679e-57
"ENSG00000144481",1052.94882214326,2.68159202857205,0.167259980811915,16.0324783941445,7.57984264165933e-58,2.12993578230627e-55
"ENSG00000152256",2392.66096062169,2.01237397291694,0.125534261873961,16.0304760061234,7.82808280553567e-58,2.15569744298841e-55
"ENSG00000069667",316.719999860755,3.20856114421635,0.201659462413708,15.91078893999,5.33371111918485e-57,1.43999741960894e-54
"ENSG00000075886",789.984291636157,2.25782996583009,0.143329971252307,15.7526715878258,6.58400183912618e-56,1.74336771774862e-53
"ENSG00000100867",681.01061408672,-2.38695718438195,0.153440224565376,-15.5562675376883,1.44270492463759e-54,3.74803851081791e-52
"ENSG00000135919",491.419287874182,3.04247648196451,0.19571583726975,15.5453770344152,1.71013222780341e-54,4.3605204897454e-52
"ENSG00000197930",3766.20337175215,2.17498296469341,0.141106485322799,15.413770385662,1.32264417944569e-53,3.31117958305231e-51
"ENSG00000115548",2288.01665390051,1.90056422338934,0.12450985784498,15.2643674668364,1.32102570998333e-52,3.2480719644215e-50
"ENSG00000206527",4975.34202748116,1.6986367339257,0.111880743017901,15.1825657222702,4.61375759761316e-52,1.11450576072869e-49
"ENSG00000198888",113254.134040654,-1.66453260526162,0.109790869127897,-15.1609384139457,6.41462253555919e-52,1.5228092705537e-49
"ENSG00000164096",10040.268913635,1.65327654365642,0.109339382950592,15.1205951510033,1.18467063376923e-51,2.76469999260483e-49
"ENSG00000122884",3832.03534487967,1.59598602380364,0.106240813725787,15.0223437475071,5.24209221271509e-51,1.20297279461457e-48
"ENSG00000067225",26279.1841993514,1.49097318538988,0.100114758389692,14.892641298562,3.6794181475056e-50,8.30523089721386e-48
"ENSG00000159399",4109.3704485479,1.74151424943331,0.118716314091517,14.6695444746609,1.01020964054806e-48,2.24348008721068e-46
"ENSG00000127663",2485.23427826311,1.65905251171768,0.113278514395307,14.6457827468332,1.43340918090011e-48,3.13279539870058e-46
"ENSG00000198840",27936.4097402304,-1.43928867599805,0.0983292771548988,-14.6374377768559,1.62061255667849e-48,3.48659598326657e-46
"ENSG00000159337",229.185735974932,3.62320231462912,0.248223114427722,14.5965548896702,2.95400112651339e-48,6.25748330937891e-46
"ENSG00000124107",567.469297585788,2.33376418107186,0.160815722735275,14.5120398763096,1.01652040431796e-47,2.12067718894758e-45
"ENSG00000173221",620.497196395573,2.19831603498638,0.151626741558977,14.4982079835259,1.24354164809309e-47,2.55557088844682e-45
"ENSG00000123505",43984.5164661043,1.62493626340857,0.112158522365344,14.4878537015271,1.44590610948506e-47,2.92774723845585e-45
"ENSG00000147852",625.158923388452,2.1821382377005,0.150883804606531,14.4623754908024,2.09442685013507e-47,4.17944395645069e-45
"ENSG00000123384",1457.48487452196,1.95969173797749,0.136915992006516,14.3130960033086,1.81260731274888e-46,3.56539858417704e-44
"ENSG00000109181",205.869102076643,-3.58793788178165,0.251248229121106,-14.2804504307658,2.89722756682185e-46,5.61858117853099e-44
"ENSG00000112715",9576.52384802087,1.69244300994413,0.118800177297475,14.2461320213881,4.73807393117915e-46,9.06090832755635e-44
"ENSG00000164442",6859.57329957444,1.64893287020025,0.116551986793244,14.14761700395,1.93193671284157e-45,3.64395021905693e-43
"ENSG00000006007",3155.10751562519,1.66294837404447,0.117872162142669,14.1080671111444,3.38735599499409e-45,6.30277090473968e-43
