#Transcript position	Transcript coverage profile
0.0	6832.285269551271
1.0	8429.322867606523
2.0	10558.568778083145
3.0	11012.232257409703
4.0	11890.302518358041
5.0	13098.0027217184
6.0	15040.603552187666
7.0	15783.62133825004
8.0	16223.813735329099
9.0	18100.976625676063
10.0	20317.943427977763
11.0	22128.06235721877
12.0	23381.554074278203
13.0	23967.61264187427
14.0	25072.65274165802
15.0	25665.53969086612
16.0	25974.714874686786
17.0	26424.39236702949
18.0	27099.069487733046
19.0	27133.638816227398
20.0	27183.259080527314
21.0	27268.735804044827
22.0	27283.406949801134
23.0	29447.111526919387
24.0	28967.311981423296
25.0	26566.393927689223
26.0	25120.705743896113
27.0	24241.943371099034
28.0	24733.95439020277
29.0	23958.372206733704
30.0	24275.477384157122
31.0	23765.680760739895
32.0	24679.57280838662
33.0	25107.557815421256
34.0	25727.0282084395
35.0	27966.120138077466
36.0	30598.62186429129
37.0	30972.382634771784
38.0	29866.1482500583
39.0	30095.465223761203
40.0	30355.871612605777
41.0	30220.936537038608
42.0	30147.619251915512
43.0	29792.63983617784
44.0	29137.212364701023
45.0	29406.35393219108
46.0	28115.448752409615
47.0	26199.377312034067
48.0	28959.365314312094
49.0	30983.84751769627
50.0	30395.133922118894
51.0	27926.213951487447
52.0	27081.402675189347
53.0	28130.832472402763
54.0	29192.0994229384
55.0	29329.41588875731
56.0	28415.70509647922
57.0	27017.930431531764
58.0	27662.13407862695
59.0	27690.13098323494
60.0	27567.322872709472
61.0	27702.234081369003
62.0	28597.920990142742
63.0	28271.454467546293
64.0	26718.867043959708
65.0	23732.724403496384
66.0	21641.559191544176
67.0	22627.64120721203
68.0	24577.129315501374
69.0	24925.28360751434
70.0	26325.008328163134
71.0	26196.41308676243
72.0	28659.97787271503
73.0	32635.603532511865
74.0	33174.42194986103
75.0	31964.37724586214
76.0	33261.04687242373
77.0	30977.57544599441
78.0	29581.713644343818
79.0	28212.635358990894
80.0	26731.090912208892
81.0	25475.218328286963
82.0	25276.305789742022
83.0	24820.333300317325
84.0	22632.24732524448
85.0	21339.98609565989
86.0	20804.48722657314
87.0	21458.06011910883
88.0	21073.229837771065
89.0	19749.235119183657
90.0	17389.8408235477
91.0	16469.851612586823
92.0	14884.396082513236
93.0	13967.817679428577
94.0	12037.019689064378
95.0	9711.981801970893
96.0	7232.18136041665
97.0	4287.731463288191
98.0	1924.703381997922
99.0	634.4615244759116
