#Transcript position	Transcript coverage profile
0.0	63625.34708076137
1.0	67672.59463675345
2.0	73768.16734218807
3.0	79935.367926279
4.0	87189.38961043
5.0	93640.62423682255
6.0	100640.82740080345
7.0	106658.15892734876
8.0	110425.41472325072
9.0	116109.66240499409
10.0	122527.53557612882
11.0	126754.13126542514
12.0	130612.92740359198
13.0	134413.18603013424
14.0	136441.16309367452
15.0	139003.16633336115
16.0	139868.00419923477
17.0	142390.7942641594
18.0	144338.51236062628
19.0	147513.86806589662
20.0	149363.48386544027
21.0	150998.31411631696
22.0	152557.48369693587
23.0	155951.98463777002
24.0	156832.3873298941
25.0	154524.55453510978
26.0	154315.75353798235
27.0	153582.7201007746
28.0	155642.94854560684
29.0	154647.73202868426
30.0	155011.388212274
31.0	156390.20684810667
32.0	158365.21870811528
33.0	159235.16802859583
34.0	160821.74896113627
35.0	161929.96473797108
36.0	164504.34496156257
37.0	164508.71607454002
38.0	164046.7237715774
39.0	164511.76041769565
40.0	166448.29007086527
41.0	166155.72111432912
42.0	166886.75563033263
43.0	166414.6249031403
44.0	166260.95436703757
45.0	166943.28365055085
46.0	166280.7744218064
47.0	164965.70174588554
48.0	167904.23018624386
49.0	169336.9264743515
50.0	167809.04634480854
51.0	164401.94133699068
52.0	163425.2440719978
53.0	163314.5399452723
54.0	163967.5509304151
55.0	163600.3626330857
56.0	161685.84529322482
57.0	161372.06963952273
58.0	162210.61256822592
59.0	161207.4001196253
60.0	160999.4027489681
61.0	160802.07675122246
62.0	161643.94905830058
63.0	161382.1336399381
64.0	159500.7575981473
65.0	155259.8785191602
66.0	152606.2813822255
67.0	152420.7596423696
68.0	154600.71754833174
69.0	154836.74457401678
70.0	156284.3584258863
71.0	155703.68451810465
72.0	157875.4604904995
73.0	162207.95294330822
74.0	163341.8167979854
75.0	163483.62742044253
76.0	165575.59826302042
77.0	163755.0483344099
78.0	162183.88572306928
79.0	160866.96576543417
80.0	160115.76179364594
81.0	158457.57959177915
82.0	155695.8972951608
83.0	153736.62010766624
84.0	149833.66653649026
85.0	147193.66128101829
86.0	143962.9250802838
87.0	144031.67142149567
88.0	141593.08794577458
89.0	137156.08100869687
90.0	130224.07300862881
91.0	124162.34232817874
92.0	114246.22900030493
93.0	105180.03025730503
94.0	95458.51315107425
95.0	83623.63773204142
96.0	70137.79456616988
97.0	51646.77992780831
98.0	31571.122238744447
99.0	10382.805541982021
