#Transcript position	Transcript coverage profile
0.0	9430.020612163653
1.0	12038.302494421332
2.0	14285.710712869195
3.0	14497.438537913862
4.0	16136.25952326756
5.0	18475.84972921409
6.0	20942.66544183356
7.0	22978.989355174435
8.0	25027.526560426613
9.0	28561.892366928434
10.0	31919.189613933788
11.0	34433.83486929368
12.0	35682.092703102026
13.0	35674.93274390582
14.0	36580.998845566035
15.0	37091.211878241884
16.0	37833.4891460666
17.0	37367.273611641736
18.0	38025.57823205608
19.0	36813.863223340675
20.0	36465.485947061956
21.0	37039.12197482607
22.0	37034.89122794339
23.0	39580.51201226859
24.0	38912.989680058585
25.0	36669.14054904512
26.0	36679.130589738634
27.0	36150.97231564821
28.0	37224.330343722344
29.0	37093.16497340912
30.0	38282.85638371549
31.0	37875.33756406741
32.0	38979.99164619361
33.0	38682.06105768562
34.0	38459.40761924713
35.0	40209.016663748735
36.0	42455.78085995125
37.0	42590.91006349026
38.0	42433.67799856744
39.0	44937.7443671692
40.0	46134.281695112746
41.0	46172.61758189717
42.0	46222.704627316554
43.0	45719.74022874364
44.0	44793.00695633431
45.0	44737.57116018745
46.0	43592.225882251376
47.0	41853.596420008726
48.0	45808.32663886856
49.0	48063.869150000704
50.0	46787.12752029966
51.0	43920.715862733545
52.0	42920.36052767825
53.0	43623.29021683673
54.0	44951.25774695027
55.0	44757.80875929262
56.0	42827.63456811197
57.0	40600.72600235144
58.0	39832.14119156347
59.0	40104.48068853044
60.0	40180.06696116181
61.0	40905.14088036835
62.0	41680.351286516445
63.0	41605.65456293452
64.0	39453.95300001933
65.0	35400.377979656405
66.0	32751.73192145567
67.0	33453.16290124188
68.0	34983.493969249204
69.0	35007.42233903515
70.0	35593.34279393392
71.0	34126.7052119455
72.0	36374.81057720673
73.0	41691.36886822899
74.0	43981.070415291404
75.0	43223.717632356085
76.0	44506.93287344789
77.0	42205.90873889303
78.0	40508.047887409906
79.0	36926.606362920786
80.0	35413.17272829376
81.0	34290.04955373827
82.0	33735.205370830205
83.0	32395.404651805762
84.0	29328.42755552157
85.0	28150.559810681876
86.0	27581.668165986495
87.0	28332.949967399374
88.0	27627.89682358433
89.0	25526.667384429522
90.0	22980.204282664075
91.0	22010.094533265197
92.0	19937.40522235199
93.0	18651.37137866122
94.0	16576.763563037315
95.0	13123.564365646063
96.0	9204.533415383681
97.0	5502.9602763993225
98.0	3022.0865413238366
99.0	925.4581657477993
