#Transcript position	Transcript coverage profile
0.0	75272.0305849761
1.0	80916.0937476166
2.0	88046.17204962997
3.0	94355.15469234345
4.0	102857.7888568546
5.0	110653.994755963
6.0	118634.86086566672
7.0	126062.88830764526
8.0	131527.75441592876
9.0	139232.35369915896
10.0	146994.70187669055
11.0	152146.67392057888
12.0	155894.3561982035
13.0	159460.02651082008
14.0	161436.7334510214
15.0	164134.32112875846
16.0	165515.05918197942
17.0	167411.60982598484
18.0	169206.77816714044
19.0	171371.00160708843
20.0	173348.16623702194
21.0	175635.24964051263
22.0	177024.9610902443
23.0	180510.83399887106
24.0	180867.59074320164
25.0	179011.6315851116
26.0	179882.62594560094
27.0	179365.18522115226
28.0	181615.41137607582
29.0	181356.2246931027
30.0	182929.49363160698
31.0	184174.93712103623
32.0	186013.74194387783
33.0	186449.51680290158
34.0	186788.01558904164
35.0	187650.663555247
36.0	190701.89098533435
37.0	190532.99345738313
38.0	190317.33976088735
39.0	193243.62193720913
40.0	195926.57444273093
41.0	195902.0098647158
42.0	197298.5802958645
43.0	196753.07084305512
44.0	195532.0547101849
45.0	195989.82382655115
46.0	195622.73736995383
47.0	194651.43019004198
48.0	198913.79117546038
49.0	200942.76659524156
50.0	199148.66641743146
51.0	194996.78564406294
52.0	194110.28344282228
53.0	193545.9586983443
54.0	194438.50576640328
55.0	193887.06193311815
56.0	191042.58521802534
57.0	190162.79871934076
58.0	190101.5588045489
59.0	189601.2657380803
60.0	189910.6803296141
61.0	190673.94660515137
62.0	192113.37419606798
63.0	191478.5537490644
64.0	188462.6084602337
65.0	182904.3756957385
66.0	179307.55743630874
67.0	179295.14600785618
68.0	181352.72465329876
69.0	181283.59080749258
70.0	182633.26339634866
71.0	181933.04995706232
72.0	184513.06919811002
73.0	190310.81223622934
74.0	193545.73537089987
75.0	194475.15705776168
76.0	196251.37869857
77.0	194254.9816114725
78.0	192043.20519095435
79.0	189007.90792998482
80.0	187226.2139196013
81.0	185273.80651312004
82.0	182653.21908708193
83.0	180420.80393232423
84.0	175757.1063654344
85.0	172884.96085629408
86.0	168770.15071533006
87.0	168593.63953785968
88.0	165050.36686794675
89.0	158523.0771879467
90.0	150263.27595828366
91.0	143272.46439751788
92.0	131845.5574838398
93.0	121193.99610065097
94.0	110472.07788254009
95.0	96823.8703141718
96.0	80782.70441147053
97.0	59568.88630196083
98.0	36320.13453668834
99.0	11775.01670548109
