#Transcript position	Transcript coverage profile
0.0	2557.9536391833294
1.0	2358.20861086936
2.0	3356.758197552127
3.0	5556.598478328037
4.0	7637.954643417311
5.0	9443.014982628298
6.0	9164.032900510925
7.0	9158.486353657496
8.0	9716.848800156466
9.0	12408.010126588282
10.0	19875.5087891425
11.0	44005.17943683766
12.0	49584.53756675186
13.0	49766.27387627601
14.0	38364.50510154638
15.0	17966.002389606027
16.0	11557.679940348446
17.0	9824.922424533062
18.0	10180.841480862468
19.0	12734.735394297019
20.0	14871.584247554418
21.0	17735.494493214326
22.0	19923.429582427245
23.0	31605.178565262035
24.0	27278.281164370757
25.0	30725.386685251804
26.0	35674.152018280045
27.0	40648.31450855302
28.0	38060.97321644397
29.0	32965.99684745747
30.0	32691.42897704953
31.0	27510.51114534324
32.0	24341.46250596554
33.0	29746.9361827926
34.0	34626.40965285916
35.0	34634.25256413799
36.0	32474.250122263275
37.0	25326.5579954834
38.0	20405.556822379578
39.0	18989.391803457675
40.0	23524.48839211567
41.0	33649.655934300186
42.0	36664.87257757121
43.0	40893.51931628699
44.0	32620.495872415755
45.0	27214.943230257933
46.0	22292.26726140798
47.0	18535.949808086883
48.0	15182.685531723668
49.0	15131.353324642705
50.0	15170.02293536067
51.0	15235.710676787457
52.0	15311.483947649018
53.0	15590.679858927879
54.0	16315.725937733007
55.0	15446.925741921967
56.0	16450.45407055935
57.0	18558.689421395527
58.0	19440.16211378719
59.0	19242.629591146357
60.0	20743.190207452815
61.0	24192.585646634252
62.0	25047.017432820994
63.0	25490.74921790066
64.0	25499.11358565057
65.0	24120.916474563146
66.0	20921.12104528136
67.0	20077.21974914919
68.0	20734.088402839814
69.0	21626.27307339042
70.0	20126.328644251014
71.0	17003.60118669378
72.0	14422.410757699554
73.0	12946.010137234947
74.0	13244.921906909902
75.0	13233.590526770493
76.0	15607.122527319689
77.0	14878.221383876984
78.0	13357.040838740768
79.0	11241.492928218106
80.0	10943.774842417672
81.0	13365.930972426651
82.0	12330.733950346354
83.0	12627.98722801628
84.0	9640.578898975238
85.0	10206.840698410595
86.0	10278.939563456763
87.0	9963.9176218901
88.0	10227.410180345643
89.0	10025.516277218063
90.0	11199.241195996881
91.0	10628.71013689672
92.0	17110.694719637162
93.0	21701.310380738018
94.0	18335.45094968542
95.0	15461.474712440458
96.0	2746.5613248525815
97.0	1134.430202802572
98.0	664.5721987771109
99.0	228.1550883695673
