#Transcript position	Transcript coverage profile
0.0	17782.56861707874
1.0	18153.636018060457
2.0	20047.112103610765
3.0	23498.60517117411
4.0	27073.071548585885
5.0	30382.948590129607
6.0	31849.035158726114
7.0	33143.80639920781
8.0	34744.611432810445
9.0	38777.08500774969
10.0	47749.65370342272
11.0	72635.62355107123
12.0	79134.18778254163
13.0	79991.40496453008
14.0	69164.15003985449
15.0	49539.20436106153
16.0	43557.7023236804
17.0	42563.426297897066
18.0	43297.565984080466
19.0	46534.007008906294
20.0	49106.30208377509
21.0	52506.77014159765
22.0	55101.597791678396
23.0	67190.56681671804
24.0	62874.3366911543
25.0	66414.75890166241
26.0	71866.6903787051
27.0	76897.07567619726
28.0	75081.4038865406
29.0	69832.10818955963
30.0	69542.3839016766
31.0	64375.553622935055
32.0	61461.26104105818
33.0	67030.32031764608
34.0	72096.28523148807
35.0	72347.60109364735
36.0	70254.76028479554
37.0	63102.55994480995
38.0	58349.41499964615
39.0	57066.51295949943
40.0	61514.53950253819
41.0	71766.19509518573
42.0	74801.94775111647
43.0	78825.06220851048
44.0	70845.69172786718
45.0	65586.07840903813
46.0	60950.85554902703
47.0	57030.37654168374
48.0	53747.96436541058
49.0	53588.35144033286
50.0	53342.925798289274
51.0	53144.064142648276
52.0	52970.07771240153
53.0	53136.23067777201
54.0	53972.717224713626
55.0	53104.68605719029
56.0	53712.15484471071
57.0	55691.12287322676
58.0	56758.70281265671
59.0	56769.570258507156
60.0	58360.95670514509
61.0	61873.88823188374
62.0	63012.46689636652
63.0	63066.723298364755
64.0	63236.74588767257
65.0	61705.692833522546
66.0	58409.14299301599
67.0	57396.87301594771
68.0	58197.66191714742
69.0	59298.04006436223
70.0	58253.2714994374
71.0	55174.17219569126
72.0	52636.94541788111
73.0	51484.69537165943
74.0	52291.83053821123
75.0	52609.020286732375
76.0	55380.77426022572
77.0	54878.892412329194
78.0	53441.83794075792
79.0	51035.80676693238
80.0	50664.193588267895
81.0	53098.26888052381
82.0	52052.44041070211
83.0	52101.4084562133
84.0	49109.787195936624
85.0	49176.96720465676
86.0	48085.074657556084
87.0	46752.3219821716
88.0	46465.32716610788
89.0	45504.095402657185
90.0	45681.5089447096
91.0	43742.7172661039
92.0	47802.81796501583
93.0	49596.047283262684
94.0	43797.781367744654
95.0	37959.78058924266
96.0	21775.448641837444
97.0	15524.626562410738
98.0	9541.104569313347
99.0	2961.001706244437
