#Transcript position	Transcript coverage profile
0.0	605.9842046108569
1.0	704.604280756233
2.0	1074.2519179347596
3.0	1791.145555729342
4.0	2508.1958523319904
5.0	3134.803561745118
6.0	3162.5517015118994
7.0	3073.4615122868854
8.0	3241.433593001225
9.0	4080.0830948270327
10.0	6586.65179490491
11.0	13988.872953592574
12.0	16191.514509930452
13.0	16377.398519658642
14.0	13325.465114116852
15.0	6972.874487740024
16.0	4077.433384477998
17.0	3294.617595786627
18.0	3319.8638050263794
19.0	3613.235861589302
20.0	4342.695001784236
21.0	5614.184081986971
22.0	6378.451844627345
23.0	10258.342320782105
24.0	8919.383812621996
25.0	10780.809304104805
26.0	13751.401891779191
27.0	14768.485827112614
28.0	13795.749010477417
29.0	11785.223452467158
30.0	12218.537279009408
31.0	9163.730377601507
32.0	7812.848819061947
33.0	9657.627691503818
34.0	11079.50400628844
35.0	11140.47330218486
36.0	10418.315108652894
37.0	8094.490822049502
38.0	6771.688385519861
39.0	6268.275345750237
40.0	6516.652462351696
41.0	9147.382383118034
42.0	9899.985796140601
43.0	11162.50378066654
44.0	9337.010556954561
45.0	7719.095258357219
46.0	6312.515880479774
47.0	5232.863779681068
48.0	4199.0056614994
49.0	4145.768855232031
50.0	4401.404784032097
51.0	4532.144772847776
52.0	4658.015390819504
53.0	4658.933075491553
54.0	4787.052667614545
55.0	4282.443066639253
56.0	4441.95485190695
57.0	4558.61109681514
58.0	4589.885846989258
59.0	4692.643956747459
60.0	5536.950503316144
61.0	6930.6966858935275
62.0	7174.458107024873
63.0	7309.300129999751
64.0	7370.031018803982
65.0	7097.0712561186365
66.0	6040.863590480963
67.0	5874.887412696092
68.0	6072.623326161321
69.0	6493.742747974116
70.0	6160.34147345013
71.0	5440.244336533398
72.0	5056.160887823857
73.0	4166.248621764734
74.0	4204.690240533895
75.0	4302.944473473094
76.0	5211.651955449665
77.0	4943.096343608159
78.0	4459.456250184807
79.0	3612.831180353323
80.0	3381.991011676179
81.0	4224.185088146932
82.0	4024.184804057873
83.0	4073.0362247381354
84.0	3278.4925617120193
85.0	3606.985076991791
86.0	3643.053537097128
87.0	3473.9915664585506
88.0	3583.680735449957
89.0	3497.378257147055
90.0	3855.206052241455
91.0	3545.1562222169155
92.0	5999.769790082505
93.0	8221.725455320044
94.0	6942.494743478904
95.0	6199.85345520411
96.0	980.8370811487908
97.0	274.88735494884247
98.0	154.61977309430367
99.0	50.425501604620344
