#Transcript position	Transcript coverage profile
0.0	18600.507063837646
1.0	18585.268660992777
2.0	20786.82799643149
3.0	24394.339555144088
4.0	27809.17539429333
5.0	30982.091330628602
6.0	32441.478375095183
7.0	33499.92425658228
8.0	35142.839799875415
9.0	40036.803529013625
10.0	49534.336996942024
11.0	75553.24824690596
12.0	81474.88005483046
13.0	82562.0670702766
14.0	70612.72269961744
15.0	51598.36089525576
16.0	44163.554716992556
17.0	42967.032154102155
18.0	43422.17247306601
19.0	44965.82607832532
20.0	47654.087435899644
21.0	51888.10233497427
22.0	54897.94879516
23.0	67981.24072099426
24.0	63748.819967955176
25.0	70041.92456683678
26.0	77522.54544820603
27.0	81001.59436310295
28.0	78423.3284559762
29.0	72059.96968016306
30.0	73091.03945256214
31.0	64879.37453605552
32.0	61412.72939358851
33.0	67528.23496236072
34.0	72206.7246674659
35.0	72407.98936627065
36.0	70084.29056223237
37.0	62052.70652981788
38.0	57040.64289778918
39.0	55607.004831080885
40.0	58777.46414955266
41.0	68591.63316440949
42.0	71767.08958457076
43.0	75663.73853229
44.0	67671.6078042036
45.0	62545.664088947015
46.0	58170.3211732831
47.0	54467.29459211303
48.0	51509.27040550534
49.0	51252.48103821715
50.0	50900.8056159
51.0	50855.95885931572
52.0	51173.09041174321
53.0	51135.55053590896
54.0	51542.851604849835
55.0	50594.30152726916
56.0	51038.26729171263
57.0	53501.30458648541
58.0	54859.05954852945
59.0	54944.77482657469
60.0	56935.302571399174
61.0	61244.71353652365
62.0	62330.10973814544
63.0	62363.5392674258
64.0	62543.79923809989
65.0	61522.99884923251
66.0	58226.14700051288
67.0	57066.05288652643
68.0	57504.60396447883
69.0	59001.8981660708
70.0	58268.679497775884
71.0	54927.83458883571
72.0	52076.92520807049
73.0	50232.3241772952
74.0	50921.19382678853
75.0	51431.74910029909
76.0	54089.004270896665
77.0	53654.19030322469
78.0	52270.28300999148
79.0	49786.083412609056
80.0	49100.168079785246
81.0	51397.89980373181
82.0	50830.73160009202
83.0	50756.299832461205
84.0	48135.82539413506
85.0	48427.00573761144
86.0	47513.53574685382
87.0	46180.10533566203
88.0	45729.57684612719
89.0	44726.38077980116
90.0	45212.920910619956
91.0	43180.94859296038
92.0	49178.052557492665
93.0	52647.428275970946
94.0	46216.124914058324
95.0	40471.836283441255
96.0	21190.150663751316
97.0	14782.174652763108
98.0	8959.073305387803
99.0	2778.6952080741953
