Geneid,PC3_Hypoxia_S2,LNCAP_Hypoxia_S1,PC3_Normoxia_S2,PC3_Hypoxia_S1,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,LNCAP_Hypoxia_S2,featurecounts.txt,PC3_Normoxia_S1
ENSG00000142611,14,50,54,40,7,6,65,50,13
ENSG00000284616,0,0,0,0,0,0,0,0,0
ENSG00000157911,78,754,285,163,1593,2040,889,754,131
ENSG00000260972,0,0,0,0,0,0,0,0,0
ENSG00000224340,0,2,2,0,3,0,1,2,1
ENSG00000229280,0,0,0,0,0,1,0,0,0
ENSG00000142655,114,800,315,352,685,1153,821,800,106
ENSG00000232596,0,0,0,0,0,0,0,0,0
ENSG00000231510,0,0,0,0,0,0,0,0,0
ENSG00000149527,5,370,10,18,260,270,408,370,8
ENSG00000171621,374,255,923,1277,218,269,327,255,344
ENSG00000272235,0,0,5,1,0,0,0,0,1
ENSG00000284694,0,1,0,0,1,0,0,1,0
ENSG00000224387,0,6,0,2,7,11,1,6,0
ENSG00000142583,3,4,1,2,8,5,10,4,0
ENSG00000284674,0,0,0,0,0,0,0,0,0
ENSG00000224338,0,0,0,0,0,0,0,0,0
ENSG00000287727,0,1,5,1,2,5,9,1,0
ENSG00000173614,109,587,321,288,895,976,744,587,128
ENSG00000215720,0,0,0,0,0,0,0,0,0
ENSG00000241326,0,0,0,0,0,0,0,0,0
ENSG00000233623,0,0,0,0,0,0,0,0,0
ENSG00000204624,2,7,7,6,2,3,11,7,6
ENSG00000142606,0,116,0,1,86,143,120,116,0
ENSG00000225931,0,7,1,0,1,0,3,7,0
ENSG00000171729,174,155,553,544,218,246,211,155,194
ENSG00000229393,0,8,1,1,6,7,15,8,0
ENSG00000287586,0,0,0,0,0,0,0,0,0
ENSG00000227169,0,0,0,0,0,0,0,0,0
ENSG00000283356,0,0,0,0,0,0,0,0,0
ENSG00000157916,627,3255,1703,1631,4863,5930,3822,3255,714
ENSG00000157881,144,891,638,474,790,1067,875,891,261
ENSG00000225387,0,0,0,0,0,0,0,0,0
ENSG00000048707,848,3693,1988,2505,2566,2733,3896,3693,753
ENSG00000225196,0,0,0,0,0,0,0,0,0
ENSG00000162444,36,8,117,117,32,55,8,8,43
ENSG00000279625,0,0,0,0,0,0,0,0,0
ENSG00000180758,208,389,583,586,413,740,456,389,251
ENSG00000184677,187,1604,616,605,1426,1646,1775,1604,219
ENSG00000285833,0,0,0,0,0,2,0,0,0
ENSG00000131697,105,786,222,199,505,749,896,786,100
ENSG00000280222,0,0,0,0,0,1,0,0,0
ENSG00000285945,0,3,0,0,0,0,2,3,0
ENSG00000197921,0,2,0,1,0,2,0,2,0
ENSG00000284666,0,0,0,0,0,0,0,0,0
ENSG00000234397,0,4,1,8,2,7,4,4,0
ENSG00000204138,542,2405,1680,1636,2160,2564,2794,2405,585
ENSG00000233419,0,0,0,0,0,0,0,0,0
ENSG00000225011,0,0,0,0,0,0,0,0,0
ENSG00000284676,0,0,0,0,2,0,0,0,0
ENSG00000090020,315,2420,395,891,1733,2745,2556,2420,148
ENSG00000158006,113,684,482,348,723,855,781,684,199
ENSG00000196581,1,0,0,0,4,2,0,0,0
ENSG00000169403,43,0,96,75,10,16,2,0,32
ENSG00000171612,49,1606,178,91,1602,2350,1768,1606,62
ENSG00000270927,1,0,0,0,0,0,0,0,0
ENSG00000188910,228,0,174,666,0,0,0,0,67
ENSG00000230523,0,4,4,1,10,13,7,4,1
ENSG00000233234,0,0,0,0,0,0,0,0,0
ENSG00000189337,57,171,171,111,259,397,186,171,76
ENSG00000028137,1,3,5,3,9,24,8,3,5
ENSG00000283259,0,2,0,0,0,0,1,2,0
ENSG00000130939,460,3114,1368,1457,3858,4589,3492,3114,496
ENSG00000175147,4,13,14,5,24,34,13,13,8
ENSG00000127472,2,200,1,0,75,92,178,200,1
ENSG00000060656,111,2743,366,295,1335,1818,3038,2743,135
ENSG00000230214,0,0,0,0,0,0,0,0,0
ENSG00000189280,2,0,5,0,4,2,1,0,1
